Archivo,Método,Target,FechaIni,FechaFin,RMSE,RMSE_baseline,RMSE_zeros,MAE,MAE_baseline,MAE_zeros,Estado
df_diario.csv,LinearRegression,target_AGG,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_BND,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_DBC,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_DIA,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_DVY,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_EEM,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_EFA,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_EWG,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_EWJ,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_EWQ,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_EWT,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_EWU,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_EWZ,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_FXI,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_HYG,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_IEF,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_IEFA,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_IEMG,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_IJR,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_INDA,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_ITOT,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_IVV,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_IWD,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_IWF,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_IWM,,,,,,,,,PENDIENTE
df_diario.csv,LinearRegression,target_JNK,,,,,,,,,PENDIENTE
