Método,Archivo,RMSE_medio,RMSE_baseline_medio,RMSE_zeros_medio,MAE_medio,Mejora_baseline_pct,Mejora_zeros_pct,Pct_bate_baseline,Pct_bate_zeros,N
GradientBoostingRegressor,df_semanal.csv,481.98276,692.75862,441.67241,357.62069,11.83103,-106.19448,96.6,34.5,58
GradientBoostingRegressor,df_semanal_1.csv,441.77586,692.75862,441.67241,343.24138,17.63724,-98.03931,96.6,53.4,58
GradientBoostingRegressor,df_semanal_2.csv,436.62069,692.75862,441.67241,320.62069,18.27121,-82.49983,96.6,44.8,58
GradientBoostingRegressor,df_semanal_3.csv,421.89655,692.75862,441.67241,323.2069,19.67638,-94.96621,96.6,55.2,58
GradientBoostingRegressor,df_semanal_4.csv,450.10345,692.75862,441.67241,337.65517,16.01931,-86.31845,96.6,36.2,58
LinearRegression,df_semanal.csv,707.27586,692.75862,441.67241,546.06897,-37.77207,-230.22293,25.9,6.9,58
LinearRegression,df_semanal_1.csv,1301.46552,692.75862,441.67241,915.32759,-146.76379,-467.15552,10.3,8.6,58
LinearRegression,df_semanal_2.csv,2521.22414,692.75862,441.67241,1832.01724,-383.59414,-959.0319,12.1,12.1,58
LinearRegression,df_semanal_3.csv,1576.84483,692.75862,441.67241,1313.08621,-214.22569,-615.41121,10.3,8.6,58
LinearRegression,df_semanal_4.csv,1283.0,692.75862,441.67241,1052.77586,-142.56379,-479.45845,10.3,10.3,58
RandomForestRegressor,df_semanal.csv,451.37931,692.75862,441.67241,343.36207,15.38431,-100.61466,96.6,56.9,58
RandomForestRegressor,df_semanal_1.csv,458.98276,692.75862,441.67241,348.13793,25.74276,-99.99552,98.3,53.4,58
RandomForestRegressor,df_semanal_2.csv,461.13793,692.75862,441.67241,341.27586,15.45379,-86.56828,96.6,62.1,58
RandomForestRegressor,df_semanal_3.csv,441.22414,692.75862,441.67241,312.60345,17.3581,-97.7031,96.6,53.4,58
RandomForestRegressor,df_semanal_4.csv,457.94828,692.75862,441.67241,350.22414,16.23121,-85.75172,96.6,53.4,58
Ridge,df_semanal.csv,456.87931,692.75862,441.67241,331.87931,16.67328,-98.85086,96.6,56.9,58
Ridge,df_semanal_1.csv,438.63793,692.75862,441.67241,296.10345,27.47741,-96.50845,98.3,53.4,58
Ridge,df_semanal_2.csv,431.94828,692.75862,441.67241,316.13793,29.08328,-95.26966,98.3,51.7,58
Ridge,df_semanal_3.csv,459.41379,692.75862,441.67241,311.94828,25.25431,-99.74,98.3,50.0,58
Ridge,df_semanal_4.csv,461.22414,692.75862,441.67241,328.32759,15.43448,-101.38879,96.6,53.4,58
