Archivo,Metodo,Target,RMSE,RMSE_baseline,RMSE_zeros,MAE,MAE_baseline,MAE_zeros,Alpha,Valor_Real,Prediccion,Valor_Baseline,Valor_Zeros,Fecha_Semana
adj_close.csv,ARIMA,AGG,0.00134133,0.00621132,0.00274975,0.00134133,0.00621132,0.00274975,"ARIMA(2, 0, 0)",0.00274975,0.00140842,-0.00346156,0.0,2024-W30
adj_close.csv,ARIMA,AGG,0.02388016,0.02055972,0.02330948,0.02388016,0.02055972,0.02330948,"ARIMA(2, 0, 0)",0.02330948,-0.00057068,0.00274975,0.0,2024-W31
adj_close.csv,ARIMA,AGG,0.00881223,0.03111421,0.00780474,0.00881223,0.03111421,0.00780474,"ARIMA(2, 0, 0)",-0.00780474,0.00100749,0.02330948,0.0,2024-W32
adj_close.csv,ARIMA,AGG,0.00179077,0.01351411,0.00570938,0.00179077,0.01351411,0.00570938,"ARIMA(2, 0, 0)",0.00570938,0.00391861,-0.00780474,0.0,2024-W33
adj_close.csv,ARIMA,AGG,0.00779264,0.00076186,0.00647124,0.00779264,0.00076186,0.00647124,"ARIMA(2, 0, 0)",0.00647124,-0.0013214,0.00570938,0.0,2024-W34
adj_close.csv,ARIMA,AGG,0.00619991,0.01164479,0.00517355,0.00619991,0.01164479,0.00517355,"ARIMA(2, 0, 0)",-0.00517355,0.00102635,0.00647124,0.0,2024-W35
adj_close.csv,ARIMA,AGG,0.01140642,0.01762342,0.01244986,0.01140642,0.01762342,0.01244986,"ARIMA(2, 0, 0)",0.01244986,0.00104344,-0.00517355,0.0,2024-W36
adj_close.csv,ARIMA,AGG,0.00628698,0.00702928,0.00542058,0.00628698,0.00702928,0.00542058,"ARIMA(2, 0, 0)",0.00542058,-0.0008664,0.01244986,0.0,2024-W37
adj_close.csv,ARIMA,AGG,0.00471159,0.00797926,0.00255867,0.00471159,0.00797926,0.00255867,"ARIMA(2, 0, 0)",-0.00255867,0.00215292,0.00542058,0.0,2024-W38
adj_close.csv,ARIMA,AGG,0.00068335,0.00275548,0.0001968,0.00068335,0.00275548,0.0001968,"ARIMA(2, 0, 0)",0.0001968,0.00088016,-0.00255867,0.0,2024-W39
adj_close.csv,ARIMA,AGG,0.01183168,0.01244917,0.01225237,0.01183168,0.01244917,0.01225237,"ARIMA(2, 0, 0)",-0.01225237,-0.00042069,0.0001968,0.0,2024-W40
adj_close.csv,ARIMA,AGG,0.00457395,0.00763971,0.00461266,0.00457395,0.00763971,0.00461266,"ARIMA(2, 0, 0)",-0.00461266,-3.871e-05,-0.01225237,0.0,2024-W41
adj_close.csv,ARIMA,AGG,0.00229407,0.00481382,0.00020116,0.00229407,0.00481382,0.00020116,"ARIMA(2, 0, 0)",0.00020116,-0.00209291,-0.00461266,0.0,2024-W42
adj_close.csv,ARIMA,AGG,0.00862976,0.00959007,0.00938891,0.00862976,0.00959007,0.00938891,"ARIMA(2, 0, 0)",-0.00938891,-0.00075915,0.00020116,0.0,2024-W43
adj_close.csv,ARIMA,AGG,0.0056573,0.00368011,0.0057088,0.0056573,0.00368011,0.0057088,"ARIMA(2, 0, 0)",-0.0057088,-5.15e-05,-0.00938891,0.0,2024-W44
adj_close.csv,ARIMA,AGG,0.00959993,0.01365911,0.00795031,0.00959993,0.01365911,0.00795031,"ARIMA(2, 0, 0)",0.00795031,-0.00164961,-0.0057088,0.0,2024-W45
adj_close.csv,ARIMA,AGG,0.00771598,0.0165148,0.00856448,0.00771598,0.0165148,0.00856448,"ARIMA(2, 0, 0)",-0.00856448,-0.0008485,0.00795031,0.0,2024-W46
adj_close.csv,ARIMA,AGG,0.00026576,0.01009928,0.0015348,0.00026576,0.01009928,0.0015348,"ARIMA(2, 0, 0)",0.0015348,0.00126904,-0.00856448,0.0,2024-W47
adj_close.csv,ARIMA,AGG,0.01551474,0.01257636,0.01411116,0.01551474,0.01257636,0.01411116,"ARIMA(2, 0, 0)",0.01411116,-0.00140358,0.0015348,0.0,2024-W48
adj_close.csv,ARIMA,AGG,0.004135,0.00965145,0.00445971,0.004135,0.00965145,0.00445971,"ARIMA(2, 0, 0)",0.00445971,0.00032472,0.01411116,0.0,2024-W49
adj_close.csv,ARIMA,AGG,0.01653683,0.01875651,0.0142968,0.01653683,0.01875651,0.0142968,"ARIMA(2, 0, 0)",-0.0142968,0.00224004,0.00445971,0.0,2024-W50
adj_close.csv,ARIMA,AGG,0.0071678,0.00767374,0.00662306,0.0071678,0.00767374,0.00662306,"ARIMA(2, 0, 0)",-0.00662306,0.00054474,-0.0142968,0.0,2024-W51
adj_close.csv,ARIMA,AGG,0.00127066,0.00331738,0.00330568,0.00127066,0.00331738,0.00330568,"ARIMA(2, 0, 0)",-0.00330568,-0.00203502,-0.00662306,0.0,2024-W52
adj_close.csv,ARIMA,AGG,0.00271351,0.0050632,0.00175752,0.00271351,0.0050632,0.00175752,"ARIMA(2, 0, 0)",0.00175752,-0.000956,-0.00330568,0.0,2025-W01
adj_close.csv,ARIMA,AGG,0.00859759,0.01078477,0.00902726,0.00859759,0.01078477,0.00902726,"ARIMA(2, 0, 0)",-0.00902726,-0.00042967,0.00175752,0.0,2025-W02
adj_close.csv,ARIMA,AGG,0.0100217,0.01919018,0.01016292,0.0100217,0.01919018,0.01016292,"ARIMA(2, 0, 0)",0.01016292,0.00014122,-0.00902726,0.0,2025-W03
adj_close.csv,ARIMA,AGG,0.00214011,0.00923487,0.00092805,0.00214011,0.00923487,0.00092805,"ARIMA(2, 0, 0)",0.00092805,-0.00121206,0.01016292,0.0,2025-W04
