ETF,week_key,date_min,date_max,year,n_dias,ret_semana,volumen_semanal,volumen_log_diff,mes_1,mes_2,mes_3,mes_4,mes_5,mes_6,mes_7,mes_8,mes_9,mes_10,mes_11,mes_12,mes_1,mes_2,mes_3,mes_4,mes_5,mes_6,mes_7,mes_8,mes_9,mes_10,mes_11,mes_12,clase_Bonds,clase_Core_US,clase_Factor_Style,clase_International,clase_Real_Assets,clase_Sector_economico,ret_semana_semana_menos_1,ret_semana_semana_menos_2
AGG,2021-W01,2021-01-05,2021-01-08,2021,4,-0.008166111894818862,32140200,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
AGG,2021-W02,2021-01-11,2021-01-15,2021,5,0.0014509457863809416,35726400,0.10578232822625466,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.008166111894818862,
AGG,2021-W03,2021-01-19,2021-01-22,2021,4,0.0,25644900,-0.33154518985358195,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0014509457863809416,-0.008166111894818862
AGG,2021-W04,2021-01-25,2021-01-29,2021,5,0.0005113477656495391,29648900,0.14508030382339854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0014509457863809416
AGG,2021-W05,2021-02-01,2021-02-05,2021,5,-0.0034896154028460913,28171700,-0.051107097306189786,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0005113477656495391,0.0
AGG,2021-W06,2021-02-08,2021-02-12,2021,5,-0.0011144514325263088,20371600,-0.3241761539185042,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0034896154028460913,0.0005113477656495391
AGG,2021-W07,2021-02-16,2021-02-19,2021,4,-0.006367930481197881,21993400,0.07660063431257313,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0011144514325263088,-0.0034896154028460913
AGG,2021-W08,2021-02-22,2021-02-26,2021,5,-0.004325432832775533,43422000,0.6802238167627337,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.006367930481197881,-0.0011144514325263088
AGG,2021-W09,2021-03-01,2021-03-05,2021,5,-0.007583944026982259,48076200,0.1018210270497164,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.004325432832775533,-0.006367930481197881
AGG,2021-W10,2021-03-08,2021-03-12,2021,5,-0.004297127176396742,32147700,-0.4024463436950718,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.007583944026982259,-0.004325432832775533
AGG,2021-W11,2021-03-15,2021-03-19,2021,5,-0.0024637173965516013,26144800,-0.20669059050205973,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.004297127176396742,-0.007583944026982259
AGG,2021-W12,2021-03-22,2021-03-26,2021,5,0.0035176414081146135,26858000,0.026913410194350007,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0024637173965516013,-0.004297127176396742
AGG,2021-W13,2021-03-29,2021-04-01,2021,4,0.0026528231146683012,29704100,0.10072135526008807,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0035176414081146135,-0.0024637173965516013
AGG,2021-W14,2021-04-05,2021-04-09,2021,5,0.00122700680498955,30999000,0.042669862481258036,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0026528231146683012,0.0035176414081146135
AGG,2021-W15,2021-04-12,2021-04-16,2021,5,0.0031478469998349468,21922700,-0.3464323162234706,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00122700680498955,0.0026528231146683012
AGG,2021-W16,2021-04-19,2021-04-23,2021,5,0.0018316144920378363,23097700,0.05221041579418895,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0031478469998349468,0.00122700680498955
AGG,2021-W17,2021-04-26,2021-04-30,2021,5,-0.0022678857122802043,27105800,0.16001468165535826,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0018316144920378363,0.0031478469998349468
AGG,2021-W18,2021-05-03,2021-05-07,2021,5,0.0025595279463841436,27304400,0.007300134238843015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0022678857122802043,0.0018316144920378363
AGG,2021-W19,2021-05-10,2021-05-14,2021,5,-0.002708328265248028,29496500,0.07722375087396571,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0025595279463841436,-0.0022678857122802043
AGG,2021-W20,2021-05-17,2021-05-21,2021,5,0.00034957640758292996,25610100,-0.1412848073106865,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.002708328265248028,0.0025595279463841436
AGG,2021-W21,2021-05-24,2021-05-28,2021,5,0.0018348094593845232,26029300,0.01623602166871052,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00034957640758292996,-0.002708328265248028
AGG,2021-W22,2021-06-01,2021-06-04,2021,4,0.0025934619352696586,20313800,-0.24792236855519434,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0018348094593845232,0.00034957640758292996
AGG,2021-W23,2021-06-07,2021-06-11,2021,5,0.004784318339642546,19570400,-0.037282237394805406,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0025934619352696586,0.0018348094593845232
AGG,2021-W24,2021-06-14,2021-06-18,2021,5,0.0005204729571568478,33487500,0.5371540142234892,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.004784318339642546,0.0025934619352696586
AGG,2021-W25,2021-06-21,2021-06-25,2021,5,-0.003736476558300339,33285600,-0.006047363842629494,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0005204729571568478,0.004784318339642546
AGG,2021-W26,2021-06-28,2021-07-02,2021,5,0.0056973017130008685,26546900,-0.22621189098585148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,-0.003736476558300339,0.0005204729571568478
AGG,2021-W27,2021-07-06,2021-07-09,2021,4,0.0027699626890242968,26448500,-0.003713534121100537,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0056973017130008685,-0.003736476558300339
AGG,2021-W28,2021-07-12,2021-07-16,2021,5,0.0019000502049904,22739600,-0.15109154790297907,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0027699626890242968,0.0056973017130008685
AGG,2021-W29,2021-07-19,2021-07-23,2021,5,0.0026711208507776973,37466300,0.49933396424856014,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0019000502049904,0.0027699626890242968
AGG,2021-W30,2021-07-26,2021-07-30,2021,5,0.002148896087068586,30196400,-0.21571915028943067,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0026711208507776973,0.0019000502049904
AGG,2021-W31,2021-08-02,2021-08-06,2021,5,-0.00433456330738391,21218500,-0.35284926932013505,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.002148896087068586,0.0026711208507776973
AGG,2021-W32,2021-08-09,2021-08-13,2021,5,0.0015532744290505107,28922400,0.3097429387419943,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.00433456330738391,0.002148896087068586
AGG,2021-W33,2021-08-16,2021-08-20,2021,5,0.0016372683548393496,20623800,-0.33817063268922,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0015532744290505107,-0.00433456330738391
AGG,2021-W34,2021-08-23,2021-08-27,2021,5,-0.0005167941818404742,28337500,0.31774026712371395,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0016372683548393496,0.0015532744290505107
AGG,2021-W35,2021-08-30,2021-09-03,2021,5,-0.0007157933390935511,25325500,-0.11237422255717533,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0005167941818404742,0.0016372683548393496
AGG,2021-W36,2021-09-07,2021-09-10,2021,4,0.00017261902311282995,14287300,-0.5724407625037387,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0007157933390935511,-0.0005167941818404742
AGG,2021-W37,2021-09-13,2021-09-17,2021,5,0.0,21594200,0.4130537293413141,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.00017261902311282995,-0.0007157933390935511
AGG,2021-W38,2021-09-20,2021-09-24,2021,5,-0.003977644286986326,30556700,0.34715921406035477,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.00017261902311282995
AGG,2021-W39,2021-09-27,2021-10-01,2021,5,-0.0019904054225605705,31222300,0.02154860892322219,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.003977644286986326,0.0
AGG,2021-W40,2021-10-04,2021-10-08,2021,5,-0.007593942316087343,25533900,-0.2011256020539669,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.0019904054225605705,-0.003977644286986326
AGG,2021-W41,2021-10-11,2021-10-15,2021,5,0.003848000516229355,20128800,-0.23785535568748628,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.007593942316087343,-0.0019904054225605705
AGG,2021-W42,2021-10-18,2021-10-22,2021,5,-0.004461431646371139,25556700,0.23874788783678724,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.003848000516229355,-0.007593942316087343
