ETF,Kappa_ARIMA,Kappa_BASE,Accuracy_ARIMA,Accuracy_BASE
AGG,0.06256517205422307,0.028213166144200663,53.23%,51.61%
BND,0.2233820459290189,-0.1071428571428572,61.29%,45.16%
DBC,0.06839378238341975,-0.02125398512221044,53.23%,50.00%
DIA,0.015873015873015928,0.015873015873015928,51.61%,51.61%
DVY,-0.02125398512221044,-0.02125398512221044,50.00%,50.00%
EEM,-0.04281345565749217,0.04463336875664192,46.77%,53.23%
EFA,0.09268292682926826,-0.06187845303867401,51.61%,50.00%
EWG,0.032258064516129004,0.21215469613259674,51.61%,62.90%
EWJ,0.048106448311156624,-0.04973544973544963,51.61%,48.39%
EWQ,-0.10020876826722325,-0.006282722513089034,45.16%,50.00%
EWT,-0.028292682926829293,0.03232998885172789,45.16%,54.84%
EWU,0.02038735983690121,-0.02125398512221044,50.00%,50.00%
EWZ,0.11602753195673543,-0.08771929824561409,53.23%,48.39%
FXI,0.0,-0.033333333333333215,50.00%,48.39%
IEF,0.12903225806451613,-0.12903225806451624,56.45%,43.55%
IEFA,0.06969990319457886,-0.08098987626546683,50.00%,50.00%
IEMG,-0.07881269191402263,0.052687038988408874,45.16%,53.23%
IJR,-0.09563409563409575,0.09583333333333333,45.16%,54.84%
INDA,0.03526970954356834,-0.006282722513089034,51.61%,50.00%
ITOT,0.09829488465396197,0.15336134453781514,53.23%,58.06%
IVV,0.1467889908256882,0.20512820512820518,56.45%,61.29%
IWD,0.08148148148148149,0.08148148148148149,54.84%,54.84%
IWF,0.0,0.03125,50.00%,51.61%
IWM,0.048106448311156624,-0.04973544973544963,51.61%,48.39%
LQD,0.12903225806451613,-0.032258064516129004,56.45%,48.39%
MCHI,0.0362694300518136,-0.03657262277951934,51.61%,48.39%
MDY,0.005015045135406293,0.15778474399164055,48.39%,58.06%
MTUM,-0.006085192697768749,0.0064102564102564985,48.39%,51.61%
QQQ,-0.09336099585062252,0.02310924369747902,45.16%,51.61%
QUAL,0.039256198347107474,0.1566920565832426,51.61%,59.68%
SCHD,0.13977389516957872,-0.17226890756302526,56.45%,41.94%
SLV,-0.15289256198347112,0.04824561403508765,41.94%,54.84%
SPY,0.11156601842374614,0.21269841269841272,54.84%,61.29%
TIP,0.06839378238341975,-0.002085505735140769,53.23%,50.00%
TLT,0.19354838709677424,-0.09791666666666665,59.68%,45.16%
USMV,0.052687038988408874,0.052687038988408874,53.23%,53.23%
USO,0.032258064516129004,-0.006282722513089034,51.61%,50.00%
VEA,0.026641294005708915,-0.03214695752009189,46.77%,53.23%
VIG,0.06451612903225812,0.058638743455497355,53.23%,53.23%
VLUE,-0.04973544973544963,-0.04973544973544963,48.39%,48.39%
VNQ,-0.15302869287991494,-0.15302869287991494,43.55%,43.55%
VOO,0.1467889908256882,0.20512820512820518,56.45%,61.29%
VTI,0.0760534429599179,0.14708994708994705,53.23%,58.06%
VTV,0.09583333333333333,0.09583333333333333,54.84%,54.84%
VUG,-0.13138686131386867,0.09299895506792055,43.55%,54.84%
VWO,-0.06230529595015577,0.06256517205422307,46.77%,53.23%
XLB,0.16756176154672398,0.16756176154672398,59.68%,59.68%
XLE,-0.04570184983677916,-0.04570184983677916,50.00%,50.00%
XLF,0.08823529411764708,0.08823529411764708,54.84%,54.84%
XLI,-0.07243243243243236,-0.07243243243243236,48.39%,48.39%
XLK,-0.04771371769383692,0.0840909090909091,45.16%,58.06%
XLP,0.0760534429599179,-0.1361256544502618,53.23%,43.55%
XLRE,0.048106448311156624,-0.2189160467587672,51.61%,40.32%
XLU,0.19354838709677424,-0.16129032258064524,59.68%,41.94%
XLV,0.12903225806451613,0.12903225806451613,56.45%,56.45%
XLY,0.006204756980351611,-0.03657262277951934,50.00%,48.39%
