ETF,Kappa_ARIMA,Kappa_BASE,Accuracy_ARIMA,Accuracy_BASE
AGG,-0.15714285714285703,-0.05652173913043468,43.21%,48.15%
BND,-0.10000000000000009,0.0,45.68%,50.62%
DBC,0.06841639634326158,-0.06445556946182718,51.85%,48.15%
DIA,0.22673031026252977,-0.2074534161490682,60.49%,40.74%
DVY,0.06896551724137934,-0.09741935483870967,50.62%,48.15%
EEM,0.09768637532133684,-0.07789678675754619,51.85%,49.38%
EFA,0.01890694239291002,0.19493427380570694,49.38%,61.73%
EWG,-0.027855153203342642,-0.027855153203342642,49.38%,49.38%
EWJ,0.0017605633802817433,-0.0019029495718363432,48.15%,51.85%
EWQ,-0.0806549423893268,0.031872509960159334,45.68%,51.85%
EWT,-0.11365719523373063,-0.14514608859566436,44.44%,44.44%
EWU,0.0006854009595612665,-0.03738317757009346,55.56%,54.32%
EWZ,-0.15097690941385444,0.2111215834118756,40.74%,61.73%
FXI,0.03743315508021394,0.0,50.62%,50.62%
HYG,0.01693480101608824,-0.00588235294117645,46.91%,53.09%
IEF,0.013075780089153,-0.013767209011264159,49.38%,50.62%
IEFA,0.03971547125074104,0.2549952426260703,50.62%,64.20%
IEMG,0.059701492537313494,-0.07339449541284404,48.15%,51.85%
IJR,0.09319213313161878,-0.09459459459459452,54.32%,45.68%
INDA,0.04069237777102952,-0.06742261722341403,51.85%,46.91%
ITOT,0.027027027027027084,-0.027855153203342642,50.62%,49.38%
IVV,0.13007159904534604,-0.1358678716110937,55.56%,44.44%
IWD,0.1335646140503035,-0.0848214285714286,54.32%,48.15%
IWF,0.07065217391304346,-0.07202216066481992,53.09%,46.91%
IWM,-0.04250224483687526,0.04409937888198767,46.91%,53.09%
JNK,0.0300751879699247,-0.07427055702917773,46.91%,50.62%
LQD,-0.02216066481994461,-0.044840294840294836,49.38%,48.15%
MCHI,-0.06134603930911253,0.05813953488372092,45.68%,53.09%
MDY,-0.014916467780429654,0.02228412256267398,48.15%,51.85%
MTUM,-0.014916467780429654,0.015581177937052049,48.15%,51.85%
QQQ,0.13007159904534604,-0.1358678716110937,55.56%,44.44%
QUAL,0.1158277744087326,-0.11707018081520082,55.56%,44.44%
SCHD,0.058686809994189515,0.018494897959183687,50.62%,53.09%
SLV,-0.17664148750726305,-0.1496774193548387,38.27%,45.68%
SPY,0.13007159904534604,-0.1358678716110937,55.56%,44.44%
TIP,0.019963702359346636,-0.03316326530612246,50.62%,50.62%
TLT,0.08767123287671241,-0.08791208791208804,54.32%,45.68%
USMV,0.1155172413793103,-0.18305744888023368,53.09%,44.44%
USO,0.18580566554980205,0.012195121951219523,59.26%,50.62%
VEA,-0.1925795053003534,0.07984420642648493,38.27%,56.79%
VIG,0.3233890214797136,-0.30807453416149055,65.43%,35.80%
VLUE,-0.0888888888888888,0.11111111111111116,39.51%,60.49%
VNQ,-0.013426914861153438,-0.17174515235457055,49.38%,41.98%
VOO,0.12432432432432439,-0.1281337047353761,55.56%,44.44%
VTI,0.03341288782816232,-0.034901838578996536,50.62%,49.38%
VTV,0.12445223488168278,-0.17613636363636354,54.32%,43.21%
VUG,0.08174224343675418,-0.08538485509504512,53.09%,46.91%
VWO,-0.028789161727349466,-0.07789678675754619,44.44%,49.38%
XLB,0.027027027027027084,-0.027855153203342642,50.62%,49.38%
XLE,0.11671087533156488,-0.0019029495718363432,54.32%,51.85%
XLF,0.09717062017719347,-0.09741935483870967,51.85%,48.15%
XLI,-0.03943661971830981,-0.04516129032258065,49.38%,50.62%
XLK,-0.05506216696269983,0.05843543826578701,45.68%,54.32%
XLP,0.06896551724137923,-0.07386363636363624,51.85%,48.15%
XLRE,-0.00911577028258903,-0.12188365650969524,49.38%,44.44%
XLU,-0.1046622264509991,-0.0848214285714286,46.91%,48.15%
XLV,0.1784009546539379,-0.1863508881271423,58.02%,41.98%
XLY,-0.014916467780429654,0.015581177937052049,48.15%,51.85%
