Archivo,Metodo,Target,RMSE,RMSE_baseline,RMSE_zeros,MAE,MAE_baseline,MAE_zeros,Alpha,Valor_Real,Prediccion,Valor_Baseline,Valor_Zeros,Fecha_Semana
adj_close.csv,ARIMA,AGG,0.0002922,0.00124226,0.00054995,0.0002922,0.00124226,0.00054995,"ARIMA(2, 0, 0)",0.00054995,0.00025775,-0.00069231,0.0,2024-W30
adj_close.csv,ARIMA,AGG,0.00476783,0.00411194,0.0046619,0.00476783,0.00411194,0.0046619,"ARIMA(2, 0, 0)",0.0046619,-0.00010594,0.00054995,0.0,2024-W31
adj_close.csv,ARIMA,AGG,0.00171815,0.00622284,0.00156095,0.00171815,0.00622284,0.00156095,"ARIMA(2, 0, 0)",-0.00156095,0.0001572,0.0046619,0.0,2024-W32
adj_close.csv,ARIMA,AGG,0.00042716,0.00270282,0.00114188,0.00042716,0.00270282,0.00114188,"ARIMA(2, 0, 0)",0.00114188,0.00071472,-0.00156095,0.0,2024-W33
adj_close.csv,ARIMA,AGG,0.00153971,0.00015237,0.00129425,0.00153971,0.00015237,0.00129425,"ARIMA(2, 0, 0)",0.00129425,-0.00024547,0.00114188,0.0,2024-W34
adj_close.csv,ARIMA,AGG,0.00121338,0.00232896,0.00103471,0.00121338,0.00232896,0.00103471,"ARIMA(2, 0, 0)",-0.00103471,0.00017867,0.00129425,0.0,2024-W35
adj_close.csv,ARIMA,AGG,0.00291792,0.00414718,0.00311247,0.00291792,0.00414718,0.00311247,"ARIMA(2, 0, 0)",0.00311247,0.00019455,-0.00103471,0.0,2024-W36
adj_close.csv,ARIMA,AGG,0.00126237,0.00202835,0.00108412,0.00126237,0.00202835,0.00108412,"ARIMA(2, 0, 0)",0.00108412,-0.00017826,0.00311247,0.0,2024-W37
adj_close.csv,ARIMA,AGG,0.00099588,0.00159585,0.00051173,0.00099588,0.00159585,0.00051173,"ARIMA(2, 0, 0)",-0.00051173,0.00048415,0.00108412,0.0,2024-W38
adj_close.csv,ARIMA,AGG,0.00012287,0.0005511,3.936e-05,0.00012287,0.0005511,3.936e-05,"ARIMA(2, 0, 0)",3.936e-05,0.00016223,-0.00051173,0.0,2024-W39
adj_close.csv,ARIMA,AGG,0.00237404,0.00248983,0.00245047,0.00237404,0.00248983,0.00245047,"ARIMA(2, 0, 0)",-0.00245047,-7.644e-05,3.936e-05,0.0,2024-W40
adj_close.csv,ARIMA,AGG,0.00092884,0.00152794,0.00092253,0.00092884,0.00152794,0.00092253,"ARIMA(2, 0, 0)",-0.00092253,6.31e-06,-0.00245047,0.0,2024-W41
adj_close.csv,ARIMA,AGG,0.00041469,0.00096276,4.023e-05,0.00041469,0.00096276,4.023e-05,"ARIMA(2, 0, 0)",4.023e-05,-0.00037446,-0.00092253,0.0,2024-W42
adj_close.csv,ARIMA,AGG,0.00173983,0.00191801,0.00187778,0.00173983,0.00191801,0.00187778,"ARIMA(2, 0, 0)",-0.00187778,-0.00013795,4.023e-05,0.0,2024-W43
adj_close.csv,ARIMA,AGG,0.0011423,0.00073602,0.00114176,0.0011423,0.00073602,0.00114176,"ARIMA(2, 0, 0)",-0.00114176,5.4e-07,-0.00187778,0.0,2024-W44
adj_close.csv,ARIMA,AGG,0.00188363,0.00273182,0.00159006,0.00188363,0.00273182,0.00159006,"ARIMA(2, 0, 0)",0.00159006,-0.00029356,-0.00114176,0.0,2024-W45
adj_close.csv,ARIMA,AGG,0.00155057,0.00330296,0.0017129,0.00155057,0.00330296,0.0017129,"ARIMA(2, 0, 0)",-0.0017129,-0.00016233,0.00159006,0.0,2024-W46
adj_close.csv,ARIMA,AGG,6.749e-05,0.00201986,0.00030696,6.749e-05,0.00201986,0.00030696,"ARIMA(2, 0, 0)",0.00030696,0.00023947,-0.0017129,0.0,2024-W47
adj_close.csv,ARIMA,AGG,0.00378434,0.00322083,0.00352779,0.00378434,0.00322083,0.00352779,"ARIMA(2, 0, 0)",0.00352779,-0.00025655,0.00030696,0.0,2024-W48
adj_close.csv,ARIMA,AGG,0.00084734,0.00263585,0.00089194,0.00084734,0.00263585,0.00089194,"ARIMA(2, 0, 0)",0.00089194,4.46e-05,0.00352779,0.0,2024-W49
adj_close.csv,ARIMA,AGG,0.00335521,0.0037513,0.00285936,0.00335521,0.0037513,0.00285936,"ARIMA(2, 0, 0)",-0.00285936,0.00049585,0.00089194,0.0,2024-W50
