Archivo,Metodo,Target,RMSE,RMSE_baseline,RMSE_zeros,MAE,MAE_baseline,MAE_zeros,Alpha,Valor_Real,Prediccion,Valor_Baseline,Valor_Zeros,Fecha_Semana
adj_close.csv,ARIMA,DBC,0.00344145,0.00315747,0.00303442,0.00344145,0.00315747,0.00303442,"ARIMA(0, 0, 1)",-0.00303442,0.00040702,-0.00619189,0.0,2024-W30
adj_close.csv,ARIMA,DBC,0.00328548,4.677e-05,0.00308119,0.00328548,4.677e-05,0.00308119,"ARIMA(0, 0, 1)",-0.00308119,0.00020429,-0.00303442,0.0,2024-W31
adj_close.csv,ARIMA,DBC,0.00262151,0.00589241,0.00281121,0.00262151,0.00589241,0.00281121,"ARIMA(0, 0, 1)",0.00281121,0.0001897,-0.00308119,0.0,2024-W32
adj_close.csv,ARIMA,DBC,0.00015574,0.00281121,0.0,0.00015574,0.00281121,0.0,"ARIMA(0, 0, 1)",0.0,-0.00015574,0.00281121,0.0,2024-W33
adj_close.csv,ARIMA,DBC,0.00045901,0.00044975,0.00044975,0.00045901,0.00044975,0.00044975,"ARIMA(0, 0, 1)",0.00044975,-9.26e-06,0.0,0.0,2024-W34
adj_close.csv,ARIMA,DBC,0.00132495,0.00180203,0.00135228,0.00132495,0.00180203,0.00135228,"ARIMA(0, 0, 1)",-0.00135228,-2.733e-05,0.00044975,0.0,2024-W35
adj_close.csv,ARIMA,DBC,0.00976217,0.00833079,0.00968307,0.00976217,0.00833079,0.00968307,"ARIMA(0, 0, 1)",-0.00968307,7.91e-05,-0.00135228,0.0,2024-W36
adj_close.csv,ARIMA,DBC,0.00307533,0.01331699,0.00363392,0.00307533,0.01331699,0.00363392,"ARIMA(0, 0, 1)",0.00363392,0.00055859,-0.00968307,0.0,2024-W37
adj_close.csv,ARIMA,DBC,0.00529429,0.00147119,0.00510511,0.00529429,0.00147119,0.00510511,"ARIMA(0, 0, 1)",0.00510511,-0.00018918,0.00363392,0.0,2024-W38
adj_close.csv,ARIMA,DBC,0.0012104,0.00420706,0.00089805,0.0012104,0.00420706,0.00089805,"ARIMA(0, 0, 1)",0.00089805,-0.00031235,0.00510511,0.0,2024-W39
