ETF,RMSE,RMSE_baseline,RMSE_zeros,MAE,MAE_baseline,MAE_zeros
AGG,0.0029263732996430178,0.004027067552094815,0.002928121977561221,0.0022560773737535485,0.00316810569267087,0.0022641926926424073
BND,0.002894769825835027,0.004016813099537323,0.0028954280245039998,0.0022312738089857874,0.003173637866634784,0.0022375465753888745
DBC,0.010098326352071424,0.013696712485822929,0.010159252211353009,0.007548899025455842,0.010577225547630669,0.007618465777789829
DIA,0.009725467856870215,0.013748937026692528,0.00970318153354332,0.0066731598923136124,0.009482067082946542,0.006655400081044664
DVY,0.009418330650850772,0.013354470237363482,0.009372725889395748,0.006635026693929735,0.00956750410743401,0.00661744562468258
EEM,0.011186361392777629,0.015960215474661296,0.011175035865826593,0.007910192699400366,0.011466618994179476,0.007920351764666987
EFA,0.009904839318194726,0.014098906741816705,0.009893942849789932,0.006937174965322,0.01028114794440113,0.0069331925982789215
EWG,0.011537009395162782,0.016192960063407966,0.0114327888679794,0.008249570593173064,0.011828801034638695,0.008164941462817163
EWJ,0.012646896290121026,0.018232330544917786,0.01263221108849822,0.00889693917303094,0.013579092025032971,0.008899579005013734
EWQ,0.011269105772885908,0.01636815106290827,0.011188982855959255,0.008210916423611554,0.012108692047454935,0.00813645423285784
EWT,0.015785490641614157,0.02244324462846509,0.015762102080152378,0.011254173767313348,0.015872094672653717,0.011238848013323536
EWU,0.009268758137051787,0.012865843573538139,0.00924565746121265,0.006526497548854834,0.009566199415735721,0.006521231929602502
EWZ,0.015310765435449238,0.022114030416922614,0.01531419215601416,0.011372278590317123,0.016933979115188593,0.011388140859906236
FXI,0.019127308744750465,0.027918505823319128,0.01914268330114599,0.01295934026532553,0.019531494431710657,0.012965673856079982
IEF,0.0036290551620771936,0.0049606399764585635,0.003628654956726223,0.0028310621930646043,0.003902815643182767,0.0028331650860918
IEFA,0.009883691298968286,0.014124798019133886,0.009863367202976467,0.00693516713460298,0.010286859852134931,0.006908687075907434
IEMG,0.010876307345909157,0.015567789178202123,0.010865427551804556,0.00769766847011716,0.011140955231463724,0.007704925432871041
IJR,0.013887501371116917,0.020009901834016113,0.013843557907756064,0.009823772959081689,0.01432439945559772,0.009799068664940848
INDA,0.008690998984564246,0.01205548906919292,0.008639018686208685,0.006461435990101495,0.00925103878702795,0.006447091780717797
ITOT,0.011069984754442277,0.0161590038357691,0.011047528744986412,0.007208407382852891,0.010753072382717504,0.007208785969811183
IVV,0.010849496947828913,0.015734824584184393,0.010781370801845448,0.007026311832616831,0.010379521257235208,0.006975339395661951
IWD,0.009259652625487256,0.01313510180571127,0.009201001424674504,0.006261569618184705,0.008933595335024717,0.00622214191883347
IWF,0.013761886291492977,0.020270506518249458,0.013755490346769329,0.009224652136810401,0.013833832335320224,0.009225725065451178
IWM,0.0140789765515162,0.020308539393855796,0.014063412262069034,0.010269118425621247,0.01492597662958584,0.010262188295016236
LQD,0.0041568006642453,0.0058101144009029835,0.004161662193712979,0.003148822666394073,0.004292297985491643,0.0031570643292453946
MCHI,0.019105426825921003,0.027826323324362013,0.019111964242089243,0.01280674385164892,0.019223170374849472,0.012804585381703665
MDY,0.012390857507257552,0.01797583652024327,0.012347875906791555,0.00849940890247866,0.012467274664377137,0.008475201603515852
MTUM,0.013729036452977017,0.01963549050908084,0.013705990580858567,0.00938179676953073,0.013794262301704661,0.00936907790439488
QQQ,0.013927036487173295,0.02061142646713617,0.013933299461423194,0.009350802211538887,0.01412615448649026,0.009349019783901139
QUAL,0.010305452113326423,0.014974414716341403,0.010218173196539906,0.006949913817970035,0.01010206901258158,0.006875043736727991
SCHD,0.009351799026429814,0.013516489654841351,0.009285732680747474,0.006554613936347511,0.00978732576509578,0.0065368837129288065
SLV,0.027825254290049693,0.03827331518451411,0.027800850797402042,0.016762343676232958,0.02472351286308028,0.016756149576912186
SPY,0.011168256984320423,0.01646510746545162,0.011097879131870861,0.007093432468434278,0.010560104539042438,0.007036735261663775
TIP,0.0026788745876050544,0.003742858156782818,0.002663975787995077,0.0020759088320073866,0.0029262500622816686,0.0020621206459359082
TLT,0.00788335665344026,0.010880819167271164,0.007872473682870994,0.006146997439221048,0.008427962847353157,0.006141059287294927
USMV,0.007444359989332951,0.010639088743778247,0.007408354261386776,0.005180134094905846,0.007546696286090373,0.0051408874396027815
