ETF,RMSE,RMSE_baseline,RMSE_zeros,MAE,MAE_baseline,MAE_zeros
AGG,0.00136774339778098,0.0015108506163845337,0.0013510262344245852,0.000839464451426108,0.0010231012675767138,0.0008249047652016216
BND,0.001352291021521858,0.0014854640005858883,0.001334725885727282,0.0008439989026023677,0.0010430957283896365,0.0008336636623689391
DBC,0.011184119402511917,0.012630198598946412,0.01125296910775879,0.006393765487201792,0.008522092060208807,0.006426871501770393
DIA,0.004070437977148264,0.005888737588979903,0.004140757953747387,0.0029603993342526627,0.004873729743332005,0.0030206951330879243
DVY,0.003028580898271808,0.004136607869941298,0.003024611804579374,0.0024116948898524108,0.003354818300507765,0.0024107914037353826
EEM,0.004038724334157258,0.005210174841568256,0.0039943254380231915,0.003433221978474624,0.004270545875127574,0.003369351507228511
EFA,0.003484527747119505,0.004687471638125884,0.0034827716201493507,0.0028599016544610615,0.003186288216741611,0.002833863692684705
EWG,0.0046309700128165905,0.006908329124931676,0.00454509425744784,0.0034600225532122972,0.005499666658200263,0.0033974282324406827
EWJ,0.0036962000710813185,0.005426750769823174,0.0036306250959729745,0.002911426712562996,0.004238959153569204,0.0028437242371545973
EWQ,0.0033150314209261585,0.005461884272072848,0.0033707866102994375,0.0025893810838004687,0.004200689228982558,0.00261309132351954
EWT,0.006938750090956499,0.01018203686555878,0.0069319550586151996,0.0059496656411907505,0.008189995912920623,0.0059332178077685736
EWU,0.0036789521011408107,0.003974577944008828,0.003709093197368901,0.0028069431615663112,0.0027411679167736844,0.0028613425980674873
EWZ,0.009045186923843545,0.013656102866910864,0.009354417621098888,0.006810931743350442,0.011278766123494913,0.00737088432479432
FXI,0.004492490501759339,0.006256697967682612,0.004529894382928844,0.0032846029132910302,0.004840009483284254,0.0032873463969120094
HYG,0.0013805127392336012,0.0014177039136824528,0.0013710837553660212,0.0008146471847376122,0.0009344419431464928,0.0007924554281960202
IEF,0.0016568655184962867,0.00190122162920488,0.001659601502074836,0.0010497991383551627,0.0014350024105707275,0.0010544904909972038
IEFA,0.0033836080299201716,0.0047399565232469,0.0033839360833548774,0.0028169865919103923,0.0032321374336047575,0.0027852492978111673
IEMG,0.003977766394609626,0.005220381587187783,0.003940933030828848,0.003413323605280525,0.004207363422581167,0.0033474450837225373
IJR,0.00522750463376002,0.007275592870693909,0.005258136052305608,0.00405551101819173,0.0058935287146375005,0.004016421573112138
INDA,0.008646937596706471,0.009394230016634324,0.008830793536369216,0.005104564164830918,0.006972565046163666,0.005133365398621941
ITOT,0.0035059773158536245,0.0055942441353958846,0.003590076198085586,0.002435004904949419,0.004426948373595259,0.0024343279262518925
IVV,0.003369756280658268,0.00549583025710073,0.0034704073048998987,0.0023988913890822467,0.004416786941428741,0.002460770493272082
IWD,0.003747113813891388,0.004791244422523117,0.003736305938036728,0.002559424325431018,0.003880416086707382,0.0025171604263982653
IWF,0.003816278032029003,0.006685841941933175,0.003944620069105524,0.0030092318735174058,0.005486647431875812,0.0030066322056866938
IWM,0.005738213885180887,0.007799753242579183,0.00572979129240592,0.004373127245093019,0.006015656516226909,0.0042638356188001835
JNK,0.0014770267194927408,0.0015371950615749937,0.0014686942529154648,0.000876560559941494,0.001039792187497807,0.0008564146534876812
LQD,0.0017073183156656835,0.0019250693318934738,0.0016424777622083948,0.001269144193198173,0.0015760053744075186,0.0012410352362777792
MCHI,0.004794536089202667,0.005974696480059472,0.004798897406111439,0.003218069643387669,0.004392753384472061,0.003211942858615633
MDY,0.004231824740079835,0.005840668002516913,0.004253373605758334,0.003232578262413972,0.004524257588176832,0.003124624591521345
MTUM,0.005217461565084754,0.007656887794340506,0.005247431146527687,0.003939992179876285,0.006129748068985946,0.003926133886899417
QQQ,0.004693123825519325,0.007825643490335616,0.00482480739385551,0.003548834664221283,0.006585107749535734,0.0035998661668881935
QUAL,0.003321791258903587,0.005121961955645302,0.0034053949883983575,0.0023383964892029954,0.004188999554446165,0.0024322503027359495
SCHD,0.0034780373671593817,0.003428755534252643,0.0033696908279140614,0.002944742057801721,0.003017616960756623,0.002850636624133557
SLV,0.02655421532902953,0.03196995299615033,0.026008159959804093,0.023111274643353868,0.023083578381456957,0.022608857683057617
SPY,0.0033539300913405503,0.00548144633912576,0.0034542456036650965,0.0023955494954711566,0.004414718312405506,0.002457199990244532
TIP,0.0008563538963973224,0.0010897910329165698,0.0008575411220444036,0.0005981050029632901,0.0007585198418547239,0.0005987465703107956
TLT,0.0025707923238102543,0.0029839139226046493,0.0025609437946273778,0.00197752997906883,0.0025103964646591933,0.001982416594502334
USMV,0.00229274232154877,0.003923423850649223,0.0023816088088663644,0.0017718560785635884,0.003413676789585066,0.0018843765563510849
USO,0.015799008150793138,0.02002009348315772,0.016186755166404353,0.008991413513251317,0.010393933878433348,0.008742749200425497
VEA,0.0034472907767557574,0.004747972492810114,0.003442287712271926,0.002980943561967607,0.003375063612138084,0.002940025285204229
VIG,0.003965174165722847,0.0056014483727263404,0.004039323669690278,0.002696687568230758,0.004829403748560465,0.0028624543364914328
VLUE,0.006398140138715794,0.0072349953608282355,0.006354836576265913,0.004430623936175582,0.005038460112095513,0.00429475974922356
