ETF,RMSE_Ridge,RMSE_BASE,RMSE_ZEROS,MAE_Ridge,MAE_BASE,MAE_ZEROS,n_semanas
AGG,0.001538183563069422,0.002259503509212047,0.0015341013273604282,0.0011409062044871036,0.0016854417795735082,0.0011250527142535331,80
BND,0.0015092510870859301,0.0022076404028414593,0.001506657814855536,0.0011178971831173493,0.0016458356331207162,0.0011067268179027329,80
DBC,0.006119111620384548,0.008074105380213085,0.006144112924069544,0.003871275278947578,0.005866646702548781,0.003939832013009535,80
DIA,0.004395570596257381,0.006830400566618881,0.004466129483129773,0.003422895138792255,0.005231381640229735,0.003485324802356553,80
DVY,0.003992184870916992,0.006007167080979375,0.004023843778942767,0.002935838111580845,0.0044051699275132515,0.0029946725043499527,80
EEM,0.004775340831364885,0.006763638833611611,0.004762480593577188,0.003810026687357258,0.005444068837328341,0.0037935145713045666,80
EFA,0.004591471114492057,0.006699865556680164,0.004629370828384134,0.0034232210134044123,0.004826909138157756,0.0034668145630542277,80
EWG,0.005372381864281175,0.007659660955376223,0.005398184728951574,0.004012648437650758,0.005793647632258927,0.004017913380475852,80
EWJ,0.005900545458987684,0.008573031672588492,0.005924077927631956,0.004317206968863348,0.00634783029645686,0.004348326746306352,80
EWQ,0.005075335693540102,0.007635308637495035,0.005117627207211896,0.003946843292681577,0.005916914032932622,0.003962383802630589,80
EWT,0.006653494546939606,0.009933474980098077,0.006727481762367333,0.005402755983503861,0.008213345784968887,0.005497422255800422,80
EWU,0.003939548662177711,0.0054212816810194535,0.003987269552521091,0.0029885335978275733,0.004042034485087012,0.0030924811604728154,80
EWZ,0.006921553676173157,0.009320405336181288,0.0069438312938938295,0.005435093484558508,0.007126223979104456,0.005488819280247982,80
FXI,0.007851925639321931,0.010005691328031715,0.007725886654497035,0.005665671080441586,0.0076964691045322,0.005559220996196769,80
HYG,0.0013026338158639834,0.0017399231551418158,0.0013184054736529247,0.0009511472378856748,0.0013698895547201878,0.0009748073604941936,80
IEF,0.0019465185256020894,0.0028899389343730792,0.0019349858773015929,0.0014521242493974152,0.0021091335165723305,0.0014212706013903749,80
IEFA,0.004564056119340217,0.006686424569533882,0.004603010265437794,0.0034200906195556214,0.004800373567953019,0.0034624832887239854,80
IEMG,0.004612147250968963,0.0065747231268349915,0.004612491094852847,0.003695031459276078,0.0052557973760296835,0.003690715565007839,80
IJR,0.005920894939624693,0.008741690923283802,0.005927065982682168,0.00450617231996078,0.006824627410064505,0.0045000338910135594,80
INDA,0.005174499835170837,0.00671316074598012,0.005174002152428274,0.0035546101295119313,0.005174851482251827,0.003559317290707327,80
