Date,AGG,BIL,BND,DBC,DIA,DVY,EEM,EFA,EWG,EWJ,EWQ,EWT,EWU,EWY,EWZ,FXI,GLD,HYG,IAU,IEF,IEFA,IEMG,IJR,INDA,ITOT,IVV,IWD,IWF,IWM,JNK,LQD,MCHI,MDY,MTUM,QQQ,QUAL,SCHD,SHY,SLV,SPY,TIP,TLT,USMV,USO,VEA,VIG,VLUE,VNQ,VOO,VTI,VTV,VUG,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2021-01-04,6414100,1588000,7568400,5740000,5106600,1151600,48201300,26703400,4783800,9211700,786300,4036600,4989300,5059400,23196000,18623700,14331400,34528300,16074700,5499000,16828100,17414000,5909100,4324800,3729600,7103700,3598100,1927000,33664200,7586100,14891400,4094900,2254200,1049100,45305900,949900,7476900,2989300,54026000,110210800,3859900,13152900,6084100,14340200,16916400,2700900,1057400,5311500,5402600,8825800,3921600,1299500,24105400,18266000,67717600,47086300,16200700,21017200,12992600,4967000,25260600,12911800,18120400
2021-01-05,7477900,940300,6452700,2395800,3355200,1260400,53358000,19748500,5248300,5756200,2874000,5833600,4346700,4274900,26691000,30140700,12718800,33725500,11376700,5004400,9754500,16305800,4135000,3571800,2234800,4310500,2024800,1324500,27442900,6113600,16294400,4352700,1522400,811800,29323400,719000,4403100,2529400,32882000,66426200,3888000,10458100,4288100,13616800,16523300,1376600,907000,4932600,3299700,3894000,2105800,929800,15242700,26812000,95473400,35265400,16004600,12361400,10871900,4432400,16666600,11081900,6262400
2021-01-06,10687200,1710800,5933700,3370800,7290300,1215900,56418700,25426900,4872000,7863500,3124100,6579600,6197600,5960600,41032700,21916100,18453500,37148100,18060850,10039300,14787300,17275400,7860600,4333500,1776300,4343100,2965600,1435700,52952200,11081200,19136500,5475100,2307300,1130400,52809600,659200,6752700,2082000,54978700,107997700,3917200,22827300,4898400,7461100,14076700,1871300,3376200,6520100,4805000,6175700,3288000,1293900,20028000,48521400,86262800,102254900,19500600,27258000,14206600,7383400,35961800,17833700,8832000
2021-01-07,6639400,1249400,6196100,2627200,4107900,750400,41031300,18783700,5665200,8367000,456600,4757900,3044500,4788700,26476700,18565200,7110200,25868200,10712400,7751700,6964100,9154100,4208200,1914500,1109900,6051700,2613900,2429200,24031400,7584900,11886100,3910600,1056300,788900,30394800,667800,6633300,4207700,27335800,68766800,3264000,14651900,4070500,4103100,8094800,1415500,870800,4068400,3638900,4830900,3806400,1024400,12432000,18577800,51457200,64342700,10114900,19652000,13963500,3433700,24758800,12407100,6725600
2021-01-08,7335700,1767600,7688800,2920300,3234900,715500,76024300,25272200,4780100,9557400,362700,4275500,2030000,5838300,39274000,25334500,24399900,27403600,15582650,8378700,6950000,19814200,5387800,3823900,1341300,3400200,2715200,1255100,29017000,7804600,13341400,4722700,988600,1287000,33955800,831500,5717400,2760300,107226800,71677200,2292500,13622500,4565000,7554600,8202400,1705500,841400,4931600,3758500,7538700,2767800,882600,16257000,16988400,62744000,54266400,11043300,12387600,17960800,3419900,26930600,9350600,9283800
2021-01-11,8610100,1128800,5404300,2247800,2811400,870600,40816400,23190200,2742100,5599300,554700,2772000,3930400,4530500,26048800,9596200,8571400,26608000,9850600,6061000,5801800,9410200,3933400,1969100,1444500,3360700,3569000,1514700,20945100,9011800,7557700,3127800,664900,982700,32746400,721000,4843800,2545700,42339700,51034700,2786800,8370700,3456300,5100500,9392400,1742100,500400,6565100,2975000,3858600,2298300,790800,11278200,12240200,46890400,56590400,11911100,17853200,9648700,4050000,16657200,6428200,7421000
2021-01-12,7269600,6770200,6078800,1635300,2290900,736500,47570500,20914000,3854900,5904300,7458900,2220100,5597000,5025700,39750100,14361900,9798500,41746100,13153700,6516600,11783400,46710200,5205100,2488200,1585800,3494600,2870200,2054100,24892200,8522400,16766200,3701000,812700,700700,29266800,990600,5135100,4048300,28423100,52547700,3489100,12186300,4159400,4185800,8035600,1289900,454500,7857300,2298400,3874100,8483600,3546800,14721300,17845800,87947200,60546600,10408000,17089200,11089500,4372500,24619000,9225500,11395200
2021-01-13,6788500,3257300,7357100,1579700,1854400,756300,33561200,15580700,2150300,5874800,628100,5625300,2256800,3213400,29166900,12447400,14110300,47710300,9168000,7562900,8439400,18340900,7116800,2440500,887700,3764900,3476000,2055400,22782200,5196200,16490700,3375900,881900,787600,22898400,868100,4539300,2021800,23619500,45303600,2524100,12533300,6749400,4457000,12509300,1225900,752000,9024900,3039900,3465800,2383700,987000,15715800,9809200,54764400,55394700,9230300,13605200,8337500,3024400,26687400,5259600,5654400
2021-01-14,6610500,2009300,7191900,1371400,3232400,684100,38837200,22607500,2678200,5827600,929500,4405100,3277100,3797800,33748700,12323000,13522700,25484800,14336450,8113000,20416900,12452300,14533100,2913100,2177000,7004300,2651600,1504000,33913700,5495100,22050500,4308900,1342900,8034600,23500100,1663900,4691700,3344000,35838300,49989100,2214400,14835500,18217200,5175000,11554400,1607700,1921400,5866400,3497400,4289000,3060800,1030700,9727400,11074000,83314600,49828800,10669800,15624800,11549000,3792500,26067000,5792300,6029800
2021-01-15,6447700,2250400,4083600,1409600,4009100,632000,58519000,27355900,4097500,6328100,299200,3225400,3998600,3837400,34510800,11997600,16172500,48134800,12269200,5978400,8485000,8815900,5677800,7736900,1111200,10182500,2818000,1359300,41043500,9546700,13680700,4764300,1022800,2269300,35118700,2510900,5418900,3148300,41576400,107160000,2681100,11624700,9771100,5492200,10321000,1406700,7896200,3939700,3622100,3444800,2660900,853500,9889700,19709000,95497000,68732700,12924800,12641200,13260300,4213000,27564800,10335200,7271400
